Obręb,Obręb nr,Arkusz,Nr działki,Pełny numer działki,Powierzchnia działki,Jednostka,Data ustanowienia
WINIARY (52),52,37,132,52/37/132,0.0055,Szkoła Podstawowa nr 11 im. Gen Dezyderego Chłapowskiego   ,
WINIARY (52),52,02,37/14,52/02/37/14,0.0066,Zarząd Transportu Miejskiego w Poznaniu   ,
WINIARY (52),52,37,129,52/37/129,0.4211,Szkoła Podstawowa nr 11 im. Gen Dezyderego Chłapowskiego   ,
WINIARY (52),52,33,122,52/33/122,0.0841,Najwyższa Izba Kontroli z siedzibą w Warszawie   ,
WINIARY (52),52,25,45/1,52/25/45/1,0.0963,Zarząd Transportu Miejskiego w Poznaniu   ,
WINIARY (52),52,25,46,52/25/46,0.1199,Zarząd Transportu Miejskiego w Poznaniu   ,
PIĄTKOWO (53),53,09,251/56,53/09/251/56,0.6173,Przedszkole nr 189   ,
PIĄTKOWO (53),53,09,251/57,53/09/251/57,0.5375,Poznański Zespół Żłobków   ,
WILDA (61),61,15,85/1,61/15/85/1,0.0078,Dom Dziecka Nr 2   ,
WILDA (61),61,15,85/1,61/15/85/1,0.0078,Miejskie Centrum Interwencji Kryzysowej   ,
WILDA (61),61,15,85/2,61/15/85/2,0.0468,Miejskie Centrum Interwencji Kryzysowej   ,
WILDA (61),61,15,84/2,61/15/84/2,0.0272,Dom Dziecka Nr 2   ,
WILDA (61),61,15,84/2,61/15/84/2,0.0272,Miejskie Centrum Interwencji Kryzysowej   ,
WILDA (61),61,15,84/3,61/15/84/3,0.0695,Dom Dziecka Nr 2   ,
WILDA (61),61,15,84/1,61/15/84/1,0.2504,Miejskie Centrum Interwencji Kryzysowej   ,
WILDA (61),61,15,83/3,61/15/83/3,0.0707,Dom Dziecka Nr 2   ,
WILDA (61),61,15,83/1,61/15/83/1,0.1567,Miejskie Centrum Interwencji Kryzysowej   ,
WILDA (61),61,15,83/2,61/15/83/2,0.1937,Dom Dziecka Nr 2   ,
WILDA (61),61,05,30/5,61/05/30/5,0.0741,Zarząd Zieleni Miejskiej   ,
WILDA (61),61,05,30/6,61/05/30/6,3.7619,Zarząd Zieleni Miejskiej   ,
DĘBIEC (60),60,22,4/2,60/22/4/2,0.0581,Zespół Szkolno-Przedszkolny Nr 3   ,
RADOJEWO (55),55,11,134/3,55/11/134/3,1.116,Zarząd Dróg Miejskich   ,
RADOJEWO (55),55,11,59/13,55/11/59/13,0.0088,Zarząd Dróg Miejskich   ,
RADOJEWO (55),55,11,60/6,55/11/60/6,0.0036,Zarząd Dróg Miejskich   ,
DĘBIEC (60),60,03,3,60/03/3,0.0897,Zarząd Zieleni Miejskiej   ,2023-07-14T04:00:00+02:00
DĘBIEC (60),60,35,7/7,60/35/7/7,0.0236,Generalna Dyrekcja Dróg Krajowych i Autostrad Oddział w Poznaniu   ,
WILDA (61),61,09,17/36,61/09/17/36,0.022,Zarząd Zieleni Miejskiej   ,
WILDA (61),61,09,17/33,61/09/17/33,0.1487,Zarząd Zieleni Miejskiej   ,2016-02-08T02:00:00+01:00
WILDA (61),61,12,103/2,61/12/103/2,0.3282,Zespół Szkół Muzycznych w Poznaniu   ,
MORASKO (54),54,39,166/5,54/39/166/5,0.6292,Zarząd Dróg Miejskich   ,
WILDA (61),61,09,4/19,61/09/4/19,0.2472,Poznańskie Ośrodki Sportu i Rekreacji   ,
WILDA (61),61,14,153/1,61/14/153/1,0.0083,Poznański Zespół Żłobków   ,
WILDA (61),61,09,6/4,61/09/6/4,0.1069,Zarząd Zieleni Miejskiej   ,
PIĄTKOWO (53),53,20,49/8,53/20/49/8,0.6903,Zarząd Dróg Miejskich   ,
MORASKO (54),54,13,135/5,54/13/135/5,0.4265,Zespół Szkolno-Przedszkolny nr 9   ,
PLEWISKA (41),41,10,590/4,41/10/590/4,0.2697,Zarząd Dróg Miejskich   ,
PLEWISKA (41),41,12,326/1,41/12/326/1,0.3042,Zarząd Dróg Miejskich   ,
RADOJEWO (55),55,12,134/2,55/12/134/2,0.166,Zarząd Dróg Miejskich   ,
UMULTOWO (56),56,15,26/8,56/15/26/8,0.0396,Zarząd Dróg Miejskich   ,
UMULTOWO (56),56,15,248/2,56/15/248/2,1.0671,Zarząd Dróg Miejskich   ,
DĘBIEC (60),60,29,85,60/29/85,0.0006,Zarząd Zieleni Miejskiej   ,2018-05-05T04:00:00+02:00
DĘBIEC (60),60,19,14/12,60/19/14/12,0.1707,"Przedszkole nr 188 ""Dębowe Ludki""   ",
DĘBIEC (60),60,36,1/21,60/36/1/21,0.2835,"Przedszkole nr 188 ""Dębowe Ludki""   ",
DĘBIEC (60),60,04,1/22,60/04/1/22,0.0417,Prezydent Miasta Poznania   ,
DĘBIEC (60),60,06,167,60/06/167,0.0398,Zarząd Transportu Miejskiego w Poznaniu   ,
